"activity" "subject" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"1" "LAYING" 1 0.234780479395833 -0.0435622452041667 -0.0852008280416667 -0.928994429791667 -0.827342672520833 -0.871429010091667 0.0365652194791667 0.52127522175 0.546022695395833 -0.917001667291667 -0.905886833916667 -0.912486646458333 0.0750482509583333 0.006415084668125 -0.00288108696291667 -0.94870194 -0.916124908958333 -0.955561061041667 -0.0316356673395833 -0.070051469175 0.111964238375 -0.893843550854167 -0.941378405833333 -0.916857421666667 -0.094924301375 -0.0491678606770833 -0.0638954874375 -0.929536048333333 -0.963843327708333 -0.958927424791667 -0.864958041729167 -0.833238089208333 -0.864958041729167 -0.833238089208333 -0.947081536458333 -0.92276978375 -0.873495145229167 -0.84319909625 -0.96178161875 -0.94253927125 -0.934417339583333 -0.8593074964375 -0.903542417291667 -0.927417260208333 -0.823735870520833 -0.865286228979167 -0.948536226458333 -0.916789154791667 -0.948672921875 -0.953681771041667 -0.921961136041667 -0.961312432708333 -0.872213128964583 -0.945145110208333 -0.91676453625 -0.901505578125 -0.939723345416667 -0.92493634875 -0.877738054895833 -0.840027698041667 -0.926791018958333 -0.917639425833333 -0.877545593958333 -0.849235914375 -0.948575951041667 -0.939418782291667
"2" "LAYING" 2 0.279707605694444 -0.0191542346194444 -0.111104109041667 -0.981434994583333 -0.964019262361111 -0.971061819722222 0.228056839583333 0.302569469097222 0.402341690583333 -0.969086030138889 -0.972571714583333 -0.968280955138889 0.0784568141388889 0.0153605126497222 0.0054736502125 -0.986567058333333 -0.980864362222222 -0.98852042125 -0.0337211339083333 -0.0829110398944444 0.0877841707083333 -0.98662328625 -0.980638975833333 -0.957618668333333 -0.0974822110972222 -0.0383859345305556 -0.0563861060277778 -0.991493894166667 -0.989946486666667 -0.986701558888889 -0.973649248333333 -0.963372689305556 -0.973649248333333 -0.963372689305556 -0.987256898472222 -0.985214415416667 -0.942345051944444 -0.958277562083333 -0.991279055277778 -0.9894358175 -0.980860611805556 -0.96828132125 -0.976700825277778 -0.981761143611111 -0.963589381666667 -0.969689988888889 -0.986466111666667 -0.98024449375 -0.986102656388889 -0.987948230416667 -0.98315449875 -0.989638279166667 -0.983957422361111 -0.98256147375 -0.95892993 -0.987508149583333 -0.97975078875 -0.961061133055556 -0.967893662777778 -0.965995331944444 -0.984842681666667 -0.984572815 -0.969885276388889 -0.958270475 -0.989865267083333 -0.989340388194444
"3" "LAYING" 3 0.276182877631579 -0.0186170123052632 -0.107929014639763 -0.765351519473684 -0.599006007110526 -0.730565291184211 0.916715110526316 -0.304063725635395 -0.0215536300802632 -0.9683273975 -0.931571091184211 -0.916957490526316 0.0594232943209211 0.0216837106336842 0.00507238836960526 -0.797385728421053 -0.722518585380263 -0.889067005921053 -0.00303383177105263 -0.0783159760263158 0.0644689172763158 -0.762039869078947 -0.820258304078947 -0.777645964473684 -0.107545956328947 -0.0397040285921053 -0.0440634807 -0.8041909825 -0.904620938289474 -0.833308218552632 -0.690750349460526 -0.725925095657895 -0.690750349460526 -0.725925095657895 -0.794632314605263 -0.781235891052632 -0.712938209473684 -0.737068304592105 -0.863807078026316 -0.882821458552632 -0.788299441578947 -0.647126764239474 -0.79801632 -0.757751391407895 -0.600586119759211 -0.718228339736842 -0.808336456184211 -0.736002368960526 -0.876811875657895 -0.804133404605263 -0.726834306065789 -0.900064905394737 -0.746594508289474 -0.84077351368421 -0.762327314736842 -0.769612711052632 -0.810214715394737 -0.803809633026316 -0.7287652975 -0.767455538552632 -0.780178479473684 -0.78369866368421 -0.790786325921053 -0.749216497031579 -0.886196059342105 -0.886748839473684
"4" "LAYING" 4 0.281173174861111 -0.01500005276875 -0.113818133347222 -0.601395466676389 -0.417747196448611 -0.735498590138889 0.418318868611111 0.307428631676389 0.238209534027778 -0.975633077361111 -0.971037883055556 -0.966733357638889 0.0819567659861111 0.00593723848333333 -0.000528825241388889 -0.542273327666667 -0.494369395081944 -0.845448571111111 -0.0471203096120833 -0.0790900742902778 0.0887276091708333 -0.660419252638889 -0.782830044027778 -0.785885988055556 -0.105056021294444 -0.0346085325111111 -0.0495538843166667 -0.6706415775 -0.884553548888889 -0.758230755138889 -0.537619284447222 -0.655636222513889 -0.537619284447222 -0.655636222513889 -0.589275545277778 -0.557319923583333 -0.657795659077778 -0.687004309305556 -0.795852335972222 -0.824341425416667 -0.605512663527778 -0.4539896553125 -0.761140602083333 -0.600588602611111 -0.436986955101528 -0.74184803375 -0.575487501111111 -0.528360174763889 -0.827131425 -0.549260584680555 -0.491319508027778 -0.862741571111111 -0.581202678180556 -0.804768913611111 -0.739860737777778 -0.686836475416667 -0.772405546527778 -0.823499806527778 -0.608405795583333 -0.739607087916667 -0.555134392305556 -0.563155808986111 -0.732925497097222 -0.711702754861111 -0.817970913333333 -0.845704247361111
"5" "LAYING" 5 0.274057266525424 -0.0227291689105085 -0.0946621745254237 0.0825477447067797 0.121715534271186 -0.33444012920339 0.94574793220339 -0.177300196311864 0.00371383822842542 -0.944335541525424 -0.892846009830508 -0.917287572372881 0.08156727 0.0202863339813559 0.00246329286033898 -0.12089258640678 -0.0738804156745763 -0.597464681694915 -0.00632839630508474 -0.0870615163762712 0.0526138156644068 -0.461501599322034 -0.451242825423729 -0.27381642259322 -0.120030266661017 -0.0752899015110169 -0.0365570678525424 -0.355993322542373 -0.590713055084746 -0.206126747254237 0.105738088698305 -0.00363409674576271 0.105738088698305 -0.00363409674576271 -0.176664093050847 -0.211490038323729 -0.240927087677966 -0.367555859627119 -0.455728574745763 -0.518848838305085 -0.0631692159491525 0.0493775713898305 -0.434229781355932 0.133551051777966 0.0857915146915254 -0.337484564508475 -0.191296336732203 -0.159279688898305 -0.564785407288136 -0.126800784915254 -0.043322970981017 -0.628639085762712 -0.289447886844068 -0.470760454745763 -0.12292943469661 -0.517776279661017 -0.44717758338983 -0.398783660169492 -0.0431204495423729 -0.138434050435593 -0.165357470813559 -0.281571391059322 -0.387771939644068 -0.465155483389831 -0.525827661525424 -0.545393024067797
"6" "LAYING" 6 0.2774671215 -0.0217807970514815 -0.111027498296296 0.228972576425926 0.310358174085 -0.363713045647778 0.934320730925926 -0.216878242592593 0.00849318255814815 -0.957647896666667 -0.934517924259259 -0.936765289259259 0.106219440759259 0.0120443160266667 -0.021592450062963 0.0920083713333333 0.199139660025926 -0.382774843796296 -0.0962386668833333 -0.0372690735055556 0.0819573204446296 -0.271154304027778 -0.235979831596296 -0.150661251272222 -0.0317635433203704 -0.0680008406462963 -0.0447759205277778 -0.020090221887037 -0.251593804388889 0.122288545816667 0.219036637962963 0.233415571074074 0.219036637962963 0.233415571074074 0.0322169166296296 0.138596477907407 -0.0633919763055556 -0.118734884624074 -0.139956850648148 -0.175122854956667 0.206976245925926 0.281945278712963 -0.328229597259259 0.23456836687037 0.241084410277778 -0.441477527111111 0.0679436763537037 0.0795276609944444 -0.336628529592593 0.0169163152424444 0.248008221298148 -0.427375126962963 -0.0213938900314815 -0.186456281481481 0.0817654503425926 -0.356007433764815 -0.275550462518519 -0.321833902092593 0.263603337666667 0.0212952695740741 0.171465920731481 0.0864505341851852 -0.0848966889296296 -0.309569303914815 -0.190363180462963 -0.213683893753704
"7" "LAYING" 7 0.274785777424242 -0.0187656091151515 -0.109135482751515 -0.0323200669 -0.152284984492424 -0.030928409855303 0.921338688333333 -0.152911902636364 -0.181945850724242 -0.960038936818182 -0.951750170909091 -0.919973525909091 0.0952277913757576 -0.00223027456515151 -0.0160343202393939 -0.0775562912386364 -0.285593675056061 -0.341706947916364 -0.104760293936364 -0.0450514089777273 0.116148332136515 -0.424623110030303 -0.318762625681818 -0.386780273030303 -0.0620320085090909 -0.0498214578674242 -0.0827685987772727 -0.482312183801515 -0.328934032027273 -0.462295281712121 -0.0164054362030303 0.0820312444268182 -0.0164054362030303 0.0820312444268182 -0.202001905917121 0.00820725654848485 -0.212540837969697 -0.271026282424242 -0.416363634090909 -0.318357246409091 -0.0591144339090909 -0.160538825454545 -0.129537510807576 -0.0234703674257576 -0.203016820924242 -0.0577335349530303 -0.12887363265303 -0.311393433969697 -0.29395139180303 -0.108297840939394 -0.307455966909091 -0.388942395148485 -0.347467080939394 -0.24949270340303 -0.321820145924242 -0.452690352409091 -0.371655116818182 -0.469080417727273 0.0878415763757576 -0.0913369221 -0.00302876154090909 0.0123674108363636 -0.281950855424242 -0.395319185909091 -0.319146937848485 -0.366852616710606
"8" "LAYING" 8 0.273381957931034 -0.0211733269482759 -0.110563475868966 -0.719192783 -0.537930656206897 -0.567553611793103 0.942775782413793 -0.127268670908966 -0.0853932817517241 -0.966562864482759 -0.934466937931035 -0.860299920689655 0.0818034825517241 0.0156267547724138 -0.0303128297896552 -0.718865261551724 -0.649984161758621 -0.83391629137931 0.0122575189206897 -0.0469846281275862 0.0537511315517241 -0.749478142517241 -0.626881748068966 -0.657493462762069 -0.099428981862069 -0.0624753989310345 -0.0811054968827586 -0.764908368965517 -0.790996488965517 -0.822449143793103 -0.60272965262069 -0.66964621237931 -0.60272965262069 -0.66964621237931 -0.719300785241379 -0.705188269482759 -0.591543302586207 -0.653096297627586 -0.786167047241379 -0.809360465862069 -0.70906168172069 -0.554099813137931 -0.670226092793103 -0.723877447068966 -0.559688605172414 -0.550280579965517 -0.723935883441379 -0.660162446662069 -0.809414302413793 -0.739309048862069 -0.66389874362069 -0.85814502137931 -0.701081216310345 -0.663520046337931 -0.680498258917241 -0.765606002551724 -0.609049029103448 -0.681915457241379 -0.658739261310345 -0.731716053496552 -0.680012677341379 -0.744044961068966 -0.690861710655172 -0.687713006827586 -0.802222866896552 -0.832705655517241
"9" "LAYING" 9 0.269812447272727 -0.0269675700627273 -0.093921091230303 -0.168938201242424 -0.174587851460606 -0.332581895909091 0.95077071 -0.0986137524242424 -0.0924103419572727 -0.959008231212121 -0.911714048484848 -0.873796301212121 0.141336165636364 -0.0350602947878788 -0.0166654039787879 -0.222069759666667 -0.43924797530303 -0.593722987272727 -0.124576107348485 -0.0391217205375758 0.114381134151515 -0.392183795575758 -0.484347225757576 -0.188355191753939 -0.0381169603527273 -0.0667410594484849 -0.067772821869697 -0.605323991212121 -0.654809250606061 -0.600625552121212 -0.135894086324242 -0.174926137030303 -0.135894086324242 -0.174926137030303 -0.360647166363636 -0.262367117545455 -0.180299101636364 -0.388204068484849 -0.630435652727273 -0.668113651212121 -0.190061764081818 -0.245480548727273 -0.406479398625152 -0.164300779454545 -0.193726356090909 -0.345434840212121 -0.281794787939394 -0.460110514727273 -0.55263487 -0.230732371212121 -0.456040990606061 -0.633501898787879 -0.342250754030303 -0.508854098484849 -0.33488616730303 -0.413330216181818 -0.475619171515152 -0.224382814115152 -0.167053698212121 -0.308730206121212 -0.265313442133333 -0.266189498242424 -0.479653060606061 -0.434173982575758 -0.662578176363636 -0.699669007878788
"10" "LAYING" 10 0.280592535054054 -0.0182794762851351 -0.11863147737027 -0.463523442297297 -0.562496629891892 -0.590560474324324 0.521485205 0.344662792459459 0.0743798388027027 -0.944021446081081 -0.942447808783784 -0.924551738121622 0.0789777950783784 0.0159228797490541 -0.00725065347162162 -0.480331233864865 -0.612601925437838 -0.750075402702703 -0.0488754560337838 -0.0655041538036892 0.0843277257912162 -0.673706039797297 -0.616268607027027 -0.641975349743243 -0.0775886943527027 -0.0544574047743243 -0.0480095882405405 -0.732868499054054 -0.786686903648649 -0.707997556081081 -0.457347898755405 -0.494764061297297 -0.457347898755405 -0.494764061297297 -0.566162330731892 -0.525569499922973 -0.522038332272973 -0.638074798175676 -0.754015759864865 -0.790929437702703 -0.482461969189189 -0.564416535428378 -0.631229944216216 -0.457055879278378 -0.590702187552703 -0.602969615175676 -0.504581342514865 -0.620158113425676 -0.717244334054054 -0.501983421351351 -0.632465553175676 -0.782608421081081 -0.631047641297297 -0.661178074310811 -0.605128606994595 -0.68976205422973 -0.596552021445946 -0.687966192162162 -0.478870317162162 -0.585114086258108 -0.506555033202703 -0.555751340558108 -0.684026275810811 -0.671499843635135 -0.783608868378378 -0.816170215135135
